@id,name,addr:street,addr:city,website,phone,amenity,building,municipality,addr:place,addr:town,@lat,@lon
2572875893,,,,,,,,,,,41.9885361,20.9628752
2572875894,,,,,,,,,,,41.9885664,20.9626050
2572875900,,,,,,,,,,,41.9877501,20.9612832
2572875901,,,,,,,,,,,41.9878326,20.9615235
2572875902,,,,,,,,,,,41.9879471,20.9614588
2572875903,,,,,,,,,,,41.9878601,20.9612185
2572875909,,,,,,,,,,,41.9875308,20.9611150
2572875910,,,,,,,,,,,41.9875310,20.9614931
2572875911,,,,,,,,,,,41.9876956,20.9614980
2572875912,,,,,,,,,,,41.9876956,20.9611173
2572875913,,,,,,,,,,,41.9875470,20.9607528
2572875914,,,,,,,,,,,41.9876341,20.9609898
2572875916,,,,,,,,,,,41.9877478,20.9609135
2572875917,,,,,,,,,,,41.9876631,20.9606793
2572875918,,,,,,,,,,,41.9870013,20.9606639
2572875919,,,,,,,,,,,41.9870013,20.9607748
2572875920,,,,,,,,,,,41.9872646,20.9607779
2572875921,,,,,,,,,,,41.9872693,20.9606654
2572875922,,,,,,,,,,,41.9875051,20.9607810
2572875923,,,,,,,,,,,41.9875029,20.9606685
2572875924,,,,,,,,,,,41.9873478,20.9601972
2572875926,,,,,,,,,,,41.9874313,20.9604420
2572875927,,,,,,,,,,,41.9875444,20.9603722
2572875928,,,,,,,,,,,41.9874609,20.9601274
2572961866,,,,,,,,,,,41.9879830,20.9610453
2572961870,,,,,,,,,,,41.9879379,20.9611270
2572961874,,,,,,,,,,,41.9881496,20.9613325
2572961878,,,,,,,,,,,41.9881982,20.9612485
2572961881,,,,,,,,,,,41.9883770,20.9615520
2572961884,,,,,,,,,,,41.9884291,20.9614656
2572962013,,,,,,,,,,,41.9882659,20.9601113
2572962017,,,,,,,,,,,41.9882677,20.9604942
2572962021,,,,,,,,,,,41.9884221,20.9604896
2572962025,,,,,,,,,,,41.9884221,20.9601090
2572962032,,,,,,,,,,,41.9881833,20.9599942
2572962036,,,,,,,,,,,41.9880966,20.9602884
2572962040,,,,,,,,,,,41.9881642,20.9603351
2572962044,,,,,,,,,,,41.9882562,20.9600292
2572962047,,,,,,,,,,,41.9880011,20.9605990
2572962051,,,,,,,,,,,41.9880740,20.9606387
2572962055,,,,,,,,,,,41.9877359,20.9601160
2572962059,,,,,,,,,,,41.9877412,20.9603017
2572962063,,,,,,,,,,,41.9879296,20.9602921
2572962066,,,,,,,,,,,41.9879243,20.9601063
2573197773,,,,,,,,,,,41.9875359,20.9596637
2573197774,,,,,,,,,,,41.9875196,20.9598091
2573197775,,,,,,,,,,,41.9878270,20.9598716
2573197776,,,,,,,,,,,41.9878434,20.9597262
2573197777,,,,,,,,,,,41.9881292,20.9599331
2573197778,,,,,,,,,,,41.9881455,20.9597876
2573197779,,,,,,,,,,,41.9870813,20.9599695
2573197780,,,,,,,,,,,41.9870813,20.9601127
2573197781,,,,,,,,,,,41.9873161,20.9601127
2573197782,,,,,,,,,,,41.9873161,20.9599695
2573197783,,,,,,,,,,,41.9869785,20.9601047
2573197784,,,,,,,,,,,41.9869372,20.9601817
2573197786,,,,,,,,,,,41.9871522,20.9603921
2573197787,,,,,,,,,,,41.9871936,20.9603127
2573197789,,,,,,,,,,,41.9873904,20.9604980
2573197790,,,,,,,,,,,41.9872564,20.9595909
2573197791,,,,,,,,,,,41.9871594,20.9596536
2573197792,,,,,,,,,,,41.9872399,20.9598790
2573197793,,,,,,,,,,,41.9873368,20.9598163
2573197794,,,,,,,,,,,41.9870472,20.9596302
2573197795,,,,,,,,,,,41.9868479,20.9599260
2573197796,,,,,,,,,,,41.9869395,20.9600277
2573197797,,,,,,,,,,,41.9871365,20.9597288
2573197814,,,,,,,,,,,41.9867807,20.9614657
2573197815,,,,,,,,,,,41.9866891,20.9619575
2573197816,,,,,,,,,,,41.9867892,20.9619912
2573197817,,,,,,,,,,,41.9868808,20.9614995
2573197818,,,,,,,,,,,41.9866342,20.9620785
2573197820,,,,,,,,,,,41.9863756,20.9624543
2573197821,,,,,,,,,,,41.9864499,20.9625470
2573197822,,,,,,,,,,,41.9867086,20.9621711
2573197823,,,,,,,,,,,41.9863615,20.9624757
2573197824,,,,,,,,,,,41.9860998,20.9628383
2573197825,,,,,,,,,,,41.9861699,20.9629298
